E:\Work\Java\TransferLearning\finalSpecs\dbpedia-linkedgeodata-university/spec.xml	SourceProperty	http://www.w3.org/2003/01/geo/wgs84_pos#geometry
E:\Work\Java\TransferLearning\finalSpecs\dbpedia-linkedgeodata-university/spec.xml	SourceProperty	http://dbpedia.org/ontology/motto
E:\Work\Java\TransferLearning\finalSpecs\dbpedia-linkedgeodata-university/spec.xml	SourceProperty	http://www.w3.org/2002/07/owl#sameAs
E:\Work\Java\TransferLearning\finalSpecs\dbpedia-linkedgeodata-university/spec.xml	SourceProperty	http://xmlns.com/foaf/0.1/depiction
E:\Work\Java\TransferLearning\finalSpecs\dbpedia-linkedgeodata-university/spec.xml	SourceProperty	http://dbpedia.org/ontology/city
E:\Work\Java\TransferLearning\finalSpecs\dbpedia-linkedgeodata-university/spec.xml	SourceProperty	http://dbpedia.org/property/president
E:\Work\Java\TransferLearning\finalSpecs\dbpedia-linkedgeodata-university/spec.xml	SourceProperty	http://dbpedia.org/property/campus
E:\Work\Java\TransferLearning\finalSpecs\dbpedia-linkedgeodata-university/spec.xml	SourceProperty	http://www.w3.org/2000/01/rdf-schema#label
E:\Work\Java\TransferLearning\finalSpecs\dbpedia-linkedgeodata-university/spec.xml	SourceProperty	http://dbpedia.org/property/state
E:\Work\Java\TransferLearning\finalSpecs\dbpedia-linkedgeodata-university/spec.xml	SourceProperty	http://dbpedia.org/ontology/officialSchoolColour
E:\Work\Java\TransferLearning\finalSpecs\dbpedia-linkedgeodata-university/spec.xml	SourceProperty	http://purl.org/dc/terms/subject
E:\Work\Java\TransferLearning\finalSpecs\dbpedia-linkedgeodata-university/spec.xml	SourceProperty	http://xmlns.com/foaf/0.1/page
E:\Work\Java\TransferLearning\finalSpecs\dbpedia-linkedgeodata-university/spec.xml	SourceProperty	http://dbpedia.org/property/type
E:\Work\Java\TransferLearning\finalSpecs\dbpedia-linkedgeodata-university/spec.xml	SourceProperty	http://www.w3.org/2003/01/geo/wgs84_pos#long
E:\Work\Java\TransferLearning\finalSpecs\dbpedia-linkedgeodata-university/spec.xml	SourceProperty	http://dbpedia.org/property/wikiPageUsesTemplate
E:\Work\Java\TransferLearning\finalSpecs\dbpedia-linkedgeodata-university/spec.xml	SourceProperty	http://dbpedia.org/ontology/type
E:\Work\Java\TransferLearning\finalSpecs\dbpedia-linkedgeodata-university/spec.xml	SourceProperty	http://www.w3.org/1999/02/22-rdf-syntax-ns#type
E:\Work\Java\TransferLearning\finalSpecs\dbpedia-linkedgeodata-university/spec.xml	SourceProperty	http://dbpedia.org/ontology/thumbnail
E:\Work\Java\TransferLearning\finalSpecs\dbpedia-linkedgeodata-university/spec.xml	SourceProperty	http://xmlns.com/foaf/0.1/homepage
E:\Work\Java\TransferLearning\finalSpecs\dbpedia-linkedgeodata-university/spec.xml	SourceProperty	http://www.w3.org/2000/01/rdf-schema#comment
E:\Work\Java\TransferLearning\finalSpecs\dbpedia-linkedgeodata-university/spec.xml	SourceProperty	http://dbpedia.org/ontology/abstract
E:\Work\Java\TransferLearning\finalSpecs\dbpedia-linkedgeodata-university/spec.xml	SourceProperty	http://dbpedia.org/property/name
E:\Work\Java\TransferLearning\finalSpecs\dbpedia-linkedgeodata-university/spec.xml	SourceProperty	http://dbpedia.org/ontology/wikiPageExternalLink
E:\Work\Java\TransferLearning\finalSpecs\dbpedia-linkedgeodata-university/spec.xml	SourceProperty	http://dbpedia.org/ontology/state
E:\Work\Java\TransferLearning\finalSpecs\dbpedia-linkedgeodata-university/spec.xml	SourceProperty	http://dbpedia.org/property/city
E:\Work\Java\TransferLearning\finalSpecs\dbpedia-linkedgeodata-university/spec.xml	SourceProperty	http://xmlns.com/foaf/0.1/name
E:\Work\Java\TransferLearning\finalSpecs\dbpedia-linkedgeodata-university/spec.xml	SourceProperty	http://dbpedia.org/property/established
E:\Work\Java\TransferLearning\finalSpecs\dbpedia-linkedgeodata-university/spec.xml	SourceProperty	http://dbpedia.org/ontology/country
E:\Work\Java\TransferLearning\finalSpecs\dbpedia-linkedgeodata-university/spec.xml	SourceProperty	http://dbpedia.org/property/website
E:\Work\Java\TransferLearning\finalSpecs\dbpedia-linkedgeodata-university/spec.xml	SourceProperty	http://dbpedia.org/property/country
E:\Work\Java\TransferLearning\finalSpecs\dbpedia-linkedgeodata-university/spec.xml	SourceProperty	http://www.georss.org/georss/point
E:\Work\Java\TransferLearning\finalSpecs\dbpedia-linkedgeodata-university/spec.xml	SourceProperty	http://dbpedia.org/property/wordnet_type
E:\Work\Java\TransferLearning\finalSpecs\dbpedia-linkedgeodata-university/spec.xml	SourceProperty	http://dbpedia.org/property/undergrad
E:\Work\Java\TransferLearning\finalSpecs\dbpedia-linkedgeodata-university/spec.xml	SourceProperty	http://www.w3.org/2003/01/geo/wgs84_pos#lat
E:\Work\Java\TransferLearning\finalSpecs\dbpedia-linkedgeodata-university/spec.xml	TargetProperty	http://www.w3.org/2003/01/geo/wgs84_pos#geometry
E:\Work\Java\TransferLearning\finalSpecs\dbpedia-linkedgeodata-university/spec.xml	TargetProperty	http://www.w3.org/2003/01/geo/wgs84_pos#long
E:\Work\Java\TransferLearning\finalSpecs\dbpedia-linkedgeodata-university/spec.xml	TargetProperty	http://www.w3.org/1999/02/22-rdf-syntax-ns#type
E:\Work\Java\TransferLearning\finalSpecs\dbpedia-linkedgeodata-university/spec.xml	TargetProperty	http://linkedgeodata.org/ontology/contributor
